contract_id,contract_name,source,contract_type,expected_risk,latency_ms,status,total_classified,human_review_flagged,avg_confidence,avg_entropy,avg_margin,num_rewrites,avg_risk_reduction,sim_mean_risk,sim_ci_lower,sim_ci_upper,sim_ci_width,sim_volatility,sim_dominant_source,num_anomalies,overall_risk,risk_level,structural_risk,num_conflicts,completeness,power_score,dispute_risk,num_hotspots
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AG,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT,cuad,MSA,unknown,102,SUCCESS,6,6,0.0715,1.0,0.002,4,0,68.0,0,0,0,unknown,classification,2,69.52255434782609,MEDIUM,100,0,0.21,17.0,72.3,8
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGRE,AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,cuad,MSA,unknown,214,SUCCESS,16,16,0.071,0.9999,0.0018,4,0,71.9,0,0,0,unknown,classification,0,73.26940789473684,HIGH,100,1,0.36,31.3,74.0,7
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT ,AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMEN,cuad,MSA,unknown,122,SUCCESS,6,6,0.0722,0.9998,0.0027,5,0,68.3,0,0,0,unknown,classification,0,69.44375,MEDIUM,100,0,0.21,10.0,74.9,8
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEME,ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT,cuad,Collaboration,unknown,348,SUCCESS,10,10,0.071,1.0,0.0021,5,0,49.3,0,0,0,unknown,classification,2,49.46397058823529,MEDIUM,62.0,1,1.0,15.9,55.4,3
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPER","ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT",cuad,MSA,unknown,276,SUCCESS,6,6,0.0733,0.9995,0.003,6,0,65.6,0,0,0,unknown,power_asymmetry,1,66.13125,MEDIUM,100,0,0.07,0.0,72.3,9
ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NAN,"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, I",cuad,MSA,unknown,156,SUCCESS,11,11,0.0703,1.0,0.0013,3,0,65.4,0,0,0,unknown,classification,5,67.1161858974359,MEDIUM,100,1,0.43,4.5,72.4,8
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement,ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement,cuad,MSA,unknown,297,SUCCESS,6,6,0.0718,0.9998,0.0023,4,0,67.3,0,0,0,unknown,classification,3,68.74375,MEDIUM,100,0,0.21,10.0,73.5,9
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,cuad,MSA,unknown,386,SUCCESS,8,8,0.0715,1.0,0.0019,4,0,66.1,0,0,0,unknown,classification,1,67.225,MEDIUM,100,0,0.43,0.0,74.4,8
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT,ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT,cuad,MSA,unknown,151,SUCCESS,2,2,0.069,1.0,0.0005,1,0,65.8,0,0,0,unknown,classification,0,67.00625,MEDIUM,100,0,0.14,0.0,74.0,9
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 20","ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009",cuad,MSA,unknown,203,SUCCESS,6,6,0.071,1.0,0.0018,2,0,64.8,0,0,0,unknown,classification,1,66.13125,MEDIUM,100,0,0.29,0.0,72.3,9
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE A,ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,cuad,MSA,unknown,214,SUCCESS,7,7,0.0706,1.0,0.0011,2,0,64.7,0,0,0,unknown,classification,0,66.35,MEDIUM,100,0,0.36,0.0,72.7,6
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEME,AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT,cuad,MSA,unknown,253,SUCCESS,7,7,0.0706,1.0,0.0009,4,0,79.2,0,0,0,unknown,classification,0,80.85249999999999,HIGH,100,1,0.36,55.3,79.6,8
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEM,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT,cuad,MSA,unknown,272,SUCCESS,7,7,0.0726,0.9999,0.0026,5,0,72.6,0,0,0,unknown,classification,0,73.89711538461538,HIGH,100,0,0.29,32.1,74.9,7
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply ,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,cuad,Supply,unknown,138,SUCCESS,4,4,0.07,1.0,0.0005,4,0,37.8,0,0,0,unknown,classification,1,37.52166666666667,LOW,25.0,0,1.0,59.7,36.2,3
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3,AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreeme,cuad,MSA,unknown,161,SUCCESS,7,7,0.0709,1.0,0.0011,0,0,67.1,0,0,0,unknown,classification,2,68.75625,MEDIUM,100,0,0.36,17.5,70.5,5
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content Li,cuad,License,unknown,382,SUCCESS,13,13,0.0712,0.9999,0.0015,9,0,59.5,0,0,0,unknown,classification,3,59.512499999999996,MEDIUM,66.0,0,0.88,49.2,59.8,4
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorshi,cuad,MSA,unknown,421,SUCCESS,10,10,0.0717,0.9999,0.0016,4,0,76.5,0,0,0,unknown,classification,1,78.30073529411764,HIGH,100,1,0.36,45.9,78.2,8
"Antares Pharma, Inc. - Manufacturing Agreement","Antares Pharma, Inc. - Manufacturing Agreement",cuad,MSA,unknown,287,SUCCESS,7,7,0.0703,1.0,0.0009,4,0,75.4,0,0,0,unknown,classification,2,77.50416666666666,HIGH,100,1,0.43,23.3,85.7,8
Apollo Endosurgery - Manufacturing and Supply Agreement,Apollo Endosurgery - Manufacturing and Supply Agreement,cuad,Supply,unknown,69,SUCCESS,4,4,0.0735,0.9998,0.0037,2,0,23.6,0,0,0,unknown,classification,2,23.474999999999998,LOW,30.0,0,1.0,0.0,28.9,2
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorshi,ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement,cuad,MSA,unknown,328,SUCCESS,8,8,0.0727,0.9998,0.0025,5,0,70.0,0,0,0,unknown,classification,0,71.19166666666666,HIGH,100,1,0.21,19.8,74.4,8
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_D,ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement,cuad,MSA,unknown,170,SUCCESS,7,7,0.0707,1.0,0.0013,1,0,65.1,0,0,0,unknown,classification,1,66.41605392156862,MEDIUM,100,0,0.36,0.5,72.6,6
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX,ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark Licen,cuad,License,unknown,348,SUCCESS,7,7,0.0739,1.0,0.0036,7,0,71.6,0,0,0,unknown,classification,1,72.89701086956521,HIGH,100,0,0.25,34.5,72.0,7
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_I,ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property,cuad,MSA,unknown,273,SUCCESS,7,7,0.0736,0.9994,0.0033,7,0,65.8,0,0,0,unknown,power_asymmetry,1,66.13125,MEDIUM,100,0,0.07,0.0,72.3,9
"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZ","Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",cuad,License,unknown,186,SUCCESS,5,5,0.072,0.9998,0.003,2,0,65.5,0,0,0,unknown,classification,1,66.2375,MEDIUM,100,0,0.38,2.5,71.5,6
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_,ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement,cuad,License,unknown,303,SUCCESS,8,8,0.0704,1.0,0.0011,7,0,76.5,0,0,0,unknown,classification,1,78.44722222222222,HIGH,100,1,0.5,27.2,86.0,8
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_M,AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement,cuad,MSA,unknown,101,SUCCESS,4,4,0.071,1.0,0.002,0,0,64.7,0,0,0,unknown,classification,1,65.69375,MEDIUM,100,0,0.14,0.0,71.4,8
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Brandi,AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Market,cuad,MSA,unknown,233,SUCCESS,5,5,0.071,1.0,0.0016,5,0,75.4,0,0,0,unknown,classification,0,76.9375,HIGH,100,0,0.21,40.8,77.5,9
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agr,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1,cuad,MSA,unknown,239,SUCCESS,8,8,0.0712,0.9999,0.0015,0,0,60.3,0,0,0,unknown,classification,0,61.73125,MEDIUM,100,0,0.36,6.0,61.1,4
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agr,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2,cuad,MSA,unknown,94,SUCCESS,6,6,0.0713,0.9998,0.0013,3,0,67.3,0,0,0,unknown,classification,0,68.94807692307691,MEDIUM,100,0,0.36,8.6,74.4,7
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTU","BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMEN",cuad,MSA,unknown,244,SUCCESS,6,6,0.0732,0.9997,0.0028,6,0,68.3,0,0,0,unknown,classification,0,69.77708333333334,MEDIUM,100,0,0.14,11.7,74.9,9
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement,cuad,MSA,unknown,194,SUCCESS,4,4,0.0707,1.0,0.0013,4,0,66.1,0,0,0,unknown,classification,1,67.00625,MEDIUM,100,0,0.14,0.0,74.0,10
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT,BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT,cuad,MSA,unknown,231,SUCCESS,6,6,0.0713,1.0,0.0012,2,0,72.5,0,0,0,unknown,classification,0,74.07853260869564,HIGH,100,1,0.21,32.0,75.4,8
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreem","BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement",cuad,Supply,unknown,224,SUCCESS,7,7,0.0713,1.0,0.0016,2,0,35.4,0,0,0,unknown,classification,2,35.474999999999994,LOW,45.0,1,1.0,26.2,33.4,2
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEME","BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT",cuad,Supply,unknown,273,SUCCESS,10,10,0.0701,1.0,0.0005,3,0,21.3,0,0,0,unknown,classification,2,20.30083333333333,LOW,10.0,0,1.0,36.3,20.1,2
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEME","BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",cuad,Collaboration,unknown,227,SUCCESS,6,6,0.0703,1.0,0.0007,3,0,52.2,0,0,0,unknown,classification,2,52.09583333333333,MEDIUM,67.0,1,1.0,11.7,59.3,3
BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT,BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT,cuad,MSA,unknown,248,SUCCESS,7,7,0.0717,1.0,0.0016,5,0,77.2,0,0,0,unknown,classification,0,78.9625,HIGH,100,1,0.21,48.3,78.6,9
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT,BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT,cuad,MSA,unknown,83,SUCCESS,5,5,0.0728,0.9998,0.002,3,0,72.3,0,0,0,unknown,classification,0,73.530625,HIGH,100,1,0.14,29.6,75.2,9
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1),BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1),cuad,MSA,unknown,327,SUCCESS,9,9,0.0709,1.0,0.001,8,0,66.9,0,0,0,unknown,classification,3,68.67419786096256,MEDIUM,100,0,0.29,7.2,74.4,9
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - Firs,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,cuad,MSA,unknown,443,SUCCESS,6,6,0.0698,1.0,0.0008,5,0,70.1,0,0,0,unknown,classification,1,71.80083333333333,HIGH,100,0,0.29,21.3,75.1,9
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,cuad,Collaboration,unknown,247,SUCCESS,10,10,0.0717,0.9999,0.0023,3,0,37.0,0,0,0,unknown,classification,0,36.77310606060606,LOW,40.0,0,1.0,25.2,39.5,3
BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT,BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT,cuad,Supply,unknown,181,SUCCESS,8,8,0.0714,1.0,0.0019,0,0,5.8,0,0,0,unknown,classification,3,2.8333333333333317,LOW,0,0,1.0,14.2,0,0
BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT,BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT,cuad,MSA,unknown,189,SUCCESS,5,5,0.073,0.9998,0.0024,2,0,66.3,0,0,0,unknown,classification,0,67.44375,MEDIUM,100,1,0.14,0.0,74.9,9
BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT,BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT,cuad,MSA,unknown,393,SUCCESS,11,11,0.0735,0.9999,0.0035,7,0,81.8,0,0,0,unknown,classification,1,83.01609195402298,HIGH,100,1,0.29,70.9,77.7,7
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.,BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGRE,cuad,MSA,unknown,215,SUCCESS,6,6,0.071,1.0,0.0008,4,0,66.2,0,0,0,unknown,classification,1,67.18125,MEDIUM,100,0,0.29,0.0,74.4,9
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K),BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMEN,cuad,MSA,unknown,67,SUCCESS,6,6,0.0717,0.9998,0.0013,1,0,66.0,0,0,0,unknown,classification,0,67.00625,MEDIUM,100,1,0.29,0.0,74.0,7
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement,BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement,cuad,MSA,unknown,352,SUCCESS,11,11,0.0724,0.9998,0.0021,6,0,67.2,0,0,0,unknown,classification,0,68.95625,MEDIUM,100,1,0.29,9.8,74.0,7
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",cuad,MSA,unknown,215,SUCCESS,5,5,0.071,1.0,0.0018,3,0,65.7,0,0,0,unknown,classification,1,67.13125,MEDIUM,100,0,0.14,5.0,72.3,10
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY A","BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT",cuad,MSA,unknown,188,SUCCESS,7,7,0.0707,1.0,0.0011,2,0,66.8,0,0,0,unknown,classification,1,68.44375,MEDIUM,100,0,0.29,8.5,73.5,7
